pose,frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
Bhujangasana,frame_0000.jpg,404.09003,283.8264,406.9703,282.76477,406.24023,280.23343,405.65863,281.02188,402.9565,274.08136,389.8751,283.26196,382.18018,274.87686,362.1507,294.67004,348.4637,289.94684,334.00714,297.9421,328.8711,301.65695,322.92776,282.42166,318.14557,272.11002,273.52158,290.96777,267.998,283.60303,220.4957,286.99835,224.64165,286.43448
Bhujangasana,frame_0001.jpg,403.46423,281.9579,406.7926,281.2163,405.5646,278.25623,406.82257,280.96066,402.54132,272.97885,392.07812,285.2755,381.8546,274.5201,366.35892,297.3571,347.21875,288.38394,336.555,299.09695,327.6213,300.99472,323.2626,282.7439,317.10184,271.16742,272.63177,290.70654,266.31912,282.17657,216.5982,287.56598,221.0657,286.49042
Bhujangasana,frame_0002.jpg,408.63474,280.04596,411.81744,278.67688,409.4606,276.00558,410.1063,277.38074,402.26285,270.15073,395.44025,283.63467,381.60242,272.89078,384.88773,301.16156,347.42188,289.58517,377.4888,305.0531,327.43427,301.07098,327.3151,282.9743,320.0845,272.00092,274.75446,290.26453,268.32022,283.14548,220.89671,285.73883,224.9541,285.47342
Bhujangasana,frame_0003.jpg,408.38144,279.46442,410.32175,277.20374,408.7694,275.83966,406.9272,273.94736,401.32986,270.11655,391.82623,278.26053,381.1783,272.40512,375.38525,295.3306,347.73083,291.67938,367.89087,302.55936,328.48358,301.30075,325.76425,280.55505,320.0349,271.72122,275.11847,290.12433,269.54517,284.32928,223.86989,287.3083,225.13493,285.8652
Bhujangasana,frame_0004.jpg,407.9337,279.42575,410.1879,277.3757,408.40677,275.78207,406.99292,274.68756,400.93652,270.25183,391.69342,279.4802,380.95844,272.80957,379.49744,296.7096,347.8584,291.97556,379.42947,304.43362,329.55078,302.80975,325.43878,280.4974,319.94363,271.50775,274.61127,289.85553,269.16537,284.404,223.43788,285.4419,225.31566,285.09985
Bhujangasana,frame_0005.jpg,405.29315,277.71588,408.13828,276.7194,406.7394,274.28107,406.43005,275.62335,401.52145,268.38336,389.53802,280.88608,381.46033,262.89276,367.88162,289.09448,345.55365,260.22916,344.97583,285.9946,342.48138,276.05545,319.62155,276.6011,314.36316,263.04453,264.72284,287.1915,263.38028,279.9055,218.7907,283.20227,220.91983,283.3471
Bhujangasana,frame_0006.jpg,406.81238,270.4043,409.80035,269.54602,407.20065,267.34976,406.6959,270.84787,398.5287,263.84738,388.0569,280.60623,383.08984,259.84793,370.58127,295.38358,358.14774,252.91797,359.41718,287.6197,364.45172,250.6398,325.8958,279.5116,321.99625,265.7346,263.99463,284.84665,265.22876,278.80246,229.91441,278.95294,232.67238,278.96942
Bhujangasana,frame_0007.jpg,406.7778,256.60757,408.9922,253.60175,405.2461,252.8447,403.30777,254.01874,393.27567,251.72989,381.15735,266.78455,376.71445,259.48944,358.37347,288.97394,345.7041,280.5188,358.19873,295.52124,354.60504,294.26367,322.74634,274.45908,319.52863,267.1172,272.8953,278.37708,272.57898,278.25467,226.33528,278.85516,228.93652,281.9586
Bhujangasana,frame_0008.jpg,398.8904,235.72066,399.3748,232.05972,397.59433,232.18347,390.013,232.10077,386.587,232.2301,369.3511,247.90308,373.83167,242.9538,353.00336,276.53143,349.95093,269.66107,358.63544,290.34726,354.54248,289.94168,314.69788,271.00787,316.66196,264.34897,265.00824,281.50775,269.7865,282.81314,220.79768,282.47723,222.2557,287.04105
Bhujangasana,frame_0009.jpg,388.19525,218.79152,388.2021,215.05978,385.74484,215.49841,379.5739,216.61696,374.1428,217.75551,361.94702,236.41847,365.52167,232.71951,349.50143,268.31964,346.63306,263.1088,352.1014,291.89566,347.6789,291.07687,313.6968,270.67554,314.45618,264.7225,266.794,282.0686,270.55814,285.2677,218.89613,283.0822,218.99693,289.9703
